fileID,runType,nPhotons,FOV,refreal,refIm,a,b,Dmin,Dmax,K,Junge
run1,2,1000000000,5,1.08,0.005,0.1,0.25,0.01,100,1.00E+21,2
run2,2,1000000000,5,1.08,0.005,0.1,0.25,0.01,100,1.00E+21,2.5
run3,2,1000000000,5,1.08,0.005,0.1,0.25,0.01,100,1.00E+21,3
run4,2,1000000000,5,1.08,0.005,0.1,0.25,0.01,100,1.00E+21,3.5
run5,2,1000000000,5,1.08,0.005,0.1,0.25,0.01,100,1.00E+21,4
run6,2,1000000000,5,1.08,0.005,0.1,0.25,0.01,100,1.00E+21,4.5
run7,2,1000000000,5,1.08,0.005,0.1,0.25,0.01,100,1.00E+21,5
run8,2,1000000000,5,1.08,0.005,0.1,0.25,0.01,100,1.00E+21,5.5
run9,2,1000000000,5,1.08,0.005,0.1,0.25,0.01,100,1.00E+21,6
run10,2,1000000000,5,1.08,0.005,0.1,0.25,0.01,100,1.00E+21,6.5
